"","ID","State","Date","text","sentiments_x","Phase","simpleSenti"
"1",1241060256609861632,"Ohio",2020-03-20,"i must say that this past week has been pretty nice actually ðÿ˜šðÿžðÿ…ðÿ”ðÿœ¿ #stayhome #stayhealthy #corona #farmlife #keepingbusyathome #socialdistancing #taulbeehillsidefarms #masontaulbee #homesteading #growyourownâ€¦ https://t.co/mgcllblqy5",0.15,"P1","Positive"
"2",1241065330140536832,"Indiana",2020-03-20,"updated re-opening hours as we just donâ€™t know at this time! we will be back just as soon as possible! stay safe! #closedfornow #brides #weddingdresses #promdresses #corona #shutdown @ rose gate bridal https://t.co/nhuuwa1wmb",0.30625,"P1","Positive"
"3",1241169961214672896,"Pennsylvania",2020-03-21,"it was great to play some music with my oldest kid today! rileylaurenmusic 

#tangled #disney #iseethelight #music #corona #quarantine #sing #cover #piano @ philadelphia, pennsylvania https://t.co/52xnim58yh",1,"P1","Positive"
"4",1241190022163902464,"Kentucky",2020-03-21,"school will be closed at least through april 20th in kentucky in order to protect the health and safety of everyone.the corona virus is not discriminating. it is hitting all age groups,â€¦ https://t.co/aps41d4xsh",-0.133333333333333,"P1","Negative"
"5",1241338760006172672,"Michigan",2020-03-21,"y'all can breathe in these jus fine? i feel like it's probably jus me. lol. #corona #coronavirus #quarantine #mask #facemask #eyes #greeneyes #bedhead @ flint, michigan https://t.co/fmmd7rme6e",0.608333333333333,"P1","Positive"
"6",1241390969510965248,"Kentucky",2020-03-21,"facetime cooking with uncle tommy in arizona! #corona #quarantine #social @ louisville, kentucky https://t.co/g4cqve5vob",0.0333333333333333,"P1","Neutral"
"7",1241403696224841728,"Indiana",2020-03-21,"i donâ€™t always watch replays of basketball games, but when i do itâ€™s to watch @boilerball or @kentuckymbb get beat by @ueathletics_mbb! ðÿ™œðÿ» ðÿ˜œ #corona #quarantine interestingly, kentuckyâ€™sâ€¦ https://t.co/ncauhwxcyj",0.5,"P1","Positive"
"8",1241405029640065024,"Michigan",2020-03-21,"the power of social distancing!!!!! #stayathome #socialdistancing #corona #prayforitaly #prayfortheworld @ bloomfield hills, michigan https://t.co/ynw52mzitc",0.101725260416667,"P1","Positive"
"9",1241444155777331200,"Kentucky",2020-03-21,"dad came for a visit today... how are you #socialdistancing ?  #corona #covid_19 #stayhealthy @ jeffersontown, kentucky https://t.co/ii082vwsrd",0,"P1","Neutral"
"10",1241467795046629376,"Michigan",2020-03-21,"corona quarantined films presents... the quarantined and the furious! staring the hollier kids. #teamhollier #fox2weekend #djinvisible #invisibleentertainment #familyfun @ detroit, michigan https://t.co/y1uysgmvc5",0,"P1","Neutral"
"11",1241499056054116352,"Ohio",2020-03-21,"hi-litez of the week archives...ðÿ‘ðÿ¿
.
.
while at home quarantined,  just a quck review of what we do! it put a smile on my face...ðÿ™‚
corona won't stop is! we haven't stopped..we've gone virtual..and have onlineâ€¦ https://t.co/znphghadlo",0.375,"P1","Positive"
"12",1241532956872716288,"Pennsylvania",2020-03-22,"#corona catering!!!
donâ€™t waste your stockpile this early in the lockdown. while you can, grab a dinner-to-go!
#stayin #stayhealthy @ panico's neighborhood grill &amp; sports tavern https://t.co/op3p2r0zrw",-0.0375,"P1","Neutral"
"13",1241572345669660672,"Pennsylvania",2020-03-22,"welcome to the nerdtino corona virus survival 
guide part 2. a little suggestion to keep you entertained 
through this self isolation. we're constantly saying that 
we never have enough time to do certain thingsâ€¦ https://t.co/vvjqpz1pbr",0.165357142857143,"P1","Positive"
"14",1241714939070423040,"Indiana",2020-03-22,"â€œi was born in the before times, so long ago. before the quarantine. before corona.â€ @ broad ripple, indiana https://t.co/vqgwasoe4z",0.0062499999999999,"P1","Neutral"
"15",1241752845541654528,"Kentucky",2020-03-22,"sbizzaro wins! #chalk #art #quarantine #corona @ louisville, kentucky https://t.co/x0eosua70h",0.375,"P1","Positive"
